student_id,study_hours,attendance,grades
1,8.78,91.44,86.45955466333767
2,8.72,63.63,98.23
3,9.56,83.26,90.56
4,1.68,75.04,32.67
5,5.83,65.57,58.71
6,6.84,68.11,57.52
7,7.4,91.25,94.0
8,6.79,66.46,62.11
9,7.93,72.5,80.94
10,4.24,71.39,82.34923549620179
11,2.61,61.95,52.31
12,2.84,78.49,42.02
13,1.11,90.64,63.05
14,4.15,60.89,73.28
15,1.83,64.5,37.13
16,3.89,88.81,57.02
17,6.65,83.74,62.09
18,9.05,88.61,100.0
19,8.56,69.2,91.13
20,3.27,92.15,42.31
21,2.21,79.19,18.54
22,2.74,84.41,76.12
23,9.74,63.69,100.81507527205808
24,5.95,68.2,92.02
25,2.64,90.93,56.32
26,8.57,68.96,100.0
27,4.56,63.7,75.09
28,9.09,83.89,88.42652901676423
29,3.35,81.92,39.16
30,4.54,84.32,44.94
31,5.54,84.73,69.53
32,9.03,80.01,88.37
33,8.82,79.75,88.78828867430884
34,6.17,96.97,40.92761123181735
35,3.0,81.36,42.99
36,4.63,84.69,62.63
37,9.78,70.68,71.67337105144001
38,6.47,94.84,83.48
39,8.03,60.97,74.54685540039097
40,5.05,82.29,30.39
41,5.79,75.35,38.94
42,4.86,84.16,79.96
43,7.33,74.41,86.79
44,8.66,88.71,77.6456270607162
45,5.57,60.81,69.57
46,5.33,76.24,55.77
47,4.06,93.25,74.5
48,2.59,70.01,56.86
49,9.45,62.11,86.86
50,3.84,79.86,64.03
51,8.21,99.06,99.32
52,7.44,62.57,66.87
53,8.12,62.8,93.83
54,9.43,83.8,100.0
55,6.61,70.0,78.34
56,9.08,76.41,100.0
57,2.51,93.22,57.56
58,6.64,67.95,63.94
59,7.95,88.77,85.12
60,3.44,80.18,85.67
61,7.67,96.2,96.57122032899532
62,8.01,98.92,88.95
63,8.48,79.4,54.03650726930501
64,3.82,83.39,47.48
65,7.13,89.83,87.33
66,3.74,72.75,60.14
67,7.65,69.07,77.07
68,5.17,98.59,100.0
69,6.38,77.3,83.62
70,4.74,60.06,74.6
71,2.46,93.51,35.48
72,2.6,83.99,47.64
73,1.7,66.74,67.51
74,6.56,61.21,59.6
75,8.64,71.66,91.88
76,1.19,97.12,66.67188190516212
77,1.6,97.34,70.18
78,5.12,72.44,56.85
79,7.64,93.44,70.03082865031259
80,2.42,77.67,72.47994815879551
81,3.44,86.17,69.75
82,3.09,73.38,63.05
83,4.59,80.64,84.1
84,3.02,71.75,59.51
85,4.17,62.44,33.85
86,7.56,65.58,75.84021103153083
87,6.5,71.63,84.88
88,1.73,99.05,51.42
89,6.74,98.63,70.14
90,5.29,93.11,71.42
91,9.41,69.3,108.77322825666388
92,3.6,77.66,77.12
93,7.54,77.59,83.85
94,7.58,75.48,87.4
95,2.99,61.8,28.37
96,9.13,81.38,89.86994366733958
97,5.42,62.91,61.04
98,7.11,92.08,96.03
99,2.31,87.65,26.04
100,3.32,74.11,40.98
101,6.27,85.89,50.57
102,3.87,69.32,60.64
103,5.5,70.61,52.38
104,4.37,72.57,56.97
105,6.76,91.88,55.43
106,5.38,68.43,74.27
107,1.04,82.51,53.47
108,6.85,68.02,70.23
109,4.8,71.4,28.03
110,4.08,69.42,39.29
111,1.85,85.8,25.78
112,2.98,81.07,19.15
113,3.01,88.85,81.44
114,9.42,68.8,100.0
115,4.89,60.37,87.7929048115807
116,1.38,87.22,45.61
117,2.25,64.59,41.83028579191895
118,1.71,69.85,20.54
119,6.3,72.23,100.0
120,2.68,89.87,51.09
121,5.49,85.04,39.84
122,4.33,67.37,61.63
123,8.23,83.92,95.807341272612
124,3.88,88.33,59.43
125,5.12,75.56,66.67
126,7.49,69.84,70.99
127,4.9,87.16,65.6
128,8.14,84.44,109.08473630488844
129,6.96,63.12,42.39
130,4.69,86.67,67.78
131,5.54,79.54,59.16
132,9.7,90.13,91.92017996885592
133,6.95,67.63,88.17
134,9.14,70.33,100.0
135,2.61,81.73,32.41
136,5.35,79.27,69.69
137,9.18,75.45,78.39667652392087
138,3.9,89.84,66.62
139,9.71,82.59,105.98646178855331
140,1.87,88.41,36.37
141,9.12,66.13,100.0
142,5.01,89.16,58.11
143,1.66,78.46,38.84
144,8.92,61.35,46.6012417873633
145,3.27,69.38,43.73
146,1.2,61.03,36.76
147,2.22,78.27,27.41
148,6.93,73.04,47.64
149,9.8,99.5,93.1874744469936
150,2.0,94.74,37.92
151,5.16,93.03,67.61
152,2.63,80.04,60.65
153,7.71,92.28,88.72625736509066
154,2.06,70.67,55.64
155,3.16,82.43,75.82
156,2.77,75.72,45.89
157,5.97,66.85,89.36176029714849
158,8.86,62.9,92.51
159,5.6,82.33,87.61
160,1.52,63.91,24.11
161,6.07,88.72,83.7
162,8.18,96.86,79.88433064435151
163,2.19,66.48,65.00348539565958
164,1.65,78.84,65.36
165,2.69,89.55,59.71
166,7.71,71.47,87.54960154278523
167,6.33,96.83,91.21
168,5.87,95.54,54.9
169,3.25,64.15,8.97
170,3.99,61.1,38.31
171,9.69,99.06,76.60309521096231
172,3.17,98.26,64.98
173,9.11,76.89,87.45
174,6.22,62.02,58.92
175,2.11,84.76,38.19
176,5.21,71.74,48.45
177,9.54,97.47,85.6199900584634
178,4.77,91.79,27.24
179,8.77,85.98,99.39
180,3.31,71.38,43.94
181,6.14,88.05,76.8165965307675
182,8.59,71.57,88.5609535265387
183,9.29,61.51,86.4
184,5.37,80.34,52.13
185,6.76,79.55,44.19
186,1.03,90.52,58.84461279165568
187,3.28,94.63,47.54
188,3.51,74.18,55.66
189,1.84,77.98,15.08
190,3.52,78.82,64.14
191,3.89,72.97,76.1
192,9.72,89.74,99.4
193,7.02,80.88,81.77816661012079
194,4.83,96.56,87.88
195,9.89,86.01,84.79
196,2.38,68.48,25.109089330088054
197,5.28,66.59,50.29
198,6.82,74.9,100.0
199,1.5,73.88,10.67
200,7.45,76.29,80.40250608471575
201,1.9,67.34,57.07
202,2.26,99.13,69.24
