student_id,gaming_hours,gaming_genre
1,7.23,FPS
2,0.07,Casual
3,1.73,Casual
4,6.62,RPG
5,5.36,FPS
6,7.16,RPG
7,0.46,Casual
8,4.78,FPS
9,4.55,FPS
10,0.29,Casual
11,4.11,RPG
12,4.88,RPG
13,1.53,FPS
14,2.19,Casual
15,5.12,FPS
16,3.75,Casual
17,6.86,FPS
18,2.74,Casual
19,2.13,FPS
20,7.88,RPG
21,7.29,Casual
22,0.23,FPS
23,6.17,FPS
24,0.88,Casual
25,0.22,FPS
26,2.19,Casual
27,2.15,FPS
28,6.55,RPG
29,5.69,FPS
30,7.85,Casual
31,5.69,FPS
32,3.35,RPG
33,5.59,FPS
34,8.0,RPG
35,5.68,FPS
36,6.09,FPS
37,7.51,RPG
38,0.91,FPS
39,5.64,Casual
40,6.81,Casual
41,7.64,RPG
42,1.69,FPS
43,4.03,RPG
44,5.44,FPS
45,1.98,Casual
46,4.8,FPS
47,2.06,FPS
48,2.67,FPS
49,3.53,Casual
50,4.23,Casual
51,3.59,FPS
52,3.95,Casual
53,2.39,FPS
54,1.27,Casual
55,0.38,RPG
56,1.57,Casual
57,4.66,FPS
58,6.29,RPG
59,1.35,RPG
60,0.87,FPS
61,5.99,FPS
62,2.44,Casual
63,7.61,RPG
64,5.71,RPG
65,2.61,FPS
66,2.32,FPS
67,4.19,Casual
68,0.63,Casual
69,0.94,Casual
70,1.41,Casual
71,6.2,Casual
72,4.11,FPS
73,0.08,FPS
74,5.39,Casual
75,3.39,FPS
76,4.09,Casual
77,1.71,Casual
78,4.41,RPG
79,7.83,FPS
80,0.59,RPG
81,2.27,Casual
82,1.94,Casual
83,1.99,FPS
84,3.03,Casual
85,6.54,RPG
86,7.3,FPS
87,1.62,FPS
88,4.34,RPG
89,5.1,FPS
90,4.17,FPS
91,3.47,FPS
92,1.54,Casual
93,3.91,FPS
94,3.21,FPS
95,6.36,FPS
96,6.11,Casual
97,1.07,Casual
98,0.71,Casual
99,7.27,RPG
100,4.28,RPG
101,6.86,RPG
102,0.47,RPG
103,4.21,FPS
104,4.32,RPG
105,6.89,FPS
106,0.78,Casual
107,1.92,RPG
108,3.25,RPG
109,6.93,RPG
110,7.51,Casual
111,7.94,RPG
112,7.67,RPG
113,0.05,FPS
114,0.38,FPS
115,1.18,FPS
116,2.79,FPS
117,6.64,Casual
118,7.14,Casual
119,1.49,FPS
120,4.96,FPS
121,7.34,RPG
122,3.71,RPG
123,0.83,Casual
124,3.66,RPG
125,3.01,Casual
126,4.62,FPS
127,3.51,FPS
128,0.14,Casual
129,7.95,FPS
130,4.35,FPS
131,3.79,FPS
132,7.64,RPG
133,1.25,FPS
134,1.51,Casual
135,6.46,Casual
136,2.09,Casual
137,6.39,FPS
138,2.17,Casual
139,0.27,Casual
140,4.14,FPS
141,1.57,FPS
142,6.06,RPG
143,5.13,Casual
144,7.39,FPS
145,6.26,RPG
146,1.45,Casual
147,6.4,FPS
148,5.13,FPS
149,5.35,Casual
150,6.66,FPS
151,4.59,Casual
152,3.73,Casual
153,5.09,FPS
154,2.38,FPS
155,1.46,FPS
156,4.93,FPS
157,1.87,Casual
158,0.64,RPG
159,0.0,Casual
160,4.87,RPG
161,2.9,RPG
162,6.02,Casual
163,3.0,Casual
164,3.89,Casual
165,3.26,FPS
166,5.2,Casual
167,2.85,RPG
168,7.71,Casual
169,7.49,RPG
170,6.78,FPS
171,7.36,FPS
172,3.59,FPS
173,4.29,FPS
174,5.94,RPG
175,5.57,Casual
176,7.13,FPS
177,5.73,FPS
178,7.98,Casual
179,2.79,FPS
180,6.66,Casual
181,5.58,FPS
182,5.53,RPG
183,2.61,FPS
184,6.28,Casual
185,7.2,Casual
186,1.75,Casual
187,5.0,FPS
188,3.14,Casual
189,7.92,Casual
190,3.83,RPG
191,1.83,RPG
192,3.05,Casual
193,5.23,RPG
194,0.61,FPS
195,4.83,Casual
196,7.45,RPG
197,6.8,Casual
198,0.54,RPG
199,7.95,FPS
200,5.59,RPG
201,1.3,Casual
202,0.1,FPS
203,1.37,RPG
204,6.71,FPS
205,0.17,RPG
206,1.87,Casual
207,6.06,RPG
208,4.69,RPG
209,6.26,FPS
210,5.97,RPG
211,0.4,RPG
212,7.14,Casual
213,1.82,Casual
214,4.43,RPG
215,5.15,Casual
216,1.35,Casual
217,7.81,FPS
218,3.91,RPG
219,0.46,Casual
220,7.5,Casual
221,4.69,FPS
222,5.59,Casual
223,4.2,RPG
224,6.68,FPS
225,0.27,Casual
226,2.15,Casual
227,3.76,RPG
228,0.61,FPS
229,5.65,Casual
230,3.15,RPG
231,2.18,FPS
232,0.03,FPS
233,5.76,FPS
234,6.67,RPG
235,3.16,FPS
236,4.51,FPS
237,1.82,Casual
238,4.98,Casual
239,0.1,FPS
240,3.91,FPS
241,5.15,RPG
242,7.35,FPS
243,3.05,FPS
244,6.12,FPS
245,4.78,Casual
246,7.42,Casual
247,3.19,Casual
248,2.55,RPG
249,7.1,Casual
250,0.39,RPG
251,1.09,RPG
252,0.66,RPG
253,6.74,Casual
254,0.08,FPS
255,6.89,FPS
256,3.61,Casual
257,0.03,FPS
258,3.21,FPS
259,1.49,RPG
260,5.0,FPS
261,5.43,FPS
262,3.9,FPS
263,0.32,RPG
264,5.25,FPS
265,6.74,RPG
266,5.76,FPS
267,6.64,FPS
268,1.6,Casual
269,7.11,Casual
270,2.58,RPG
271,0.11,FPS
272,6.75,FPS
273,7.53,Casual
274,5.24,FPS
275,1.85,Casual
276,2.01,RPG
277,3.73,Casual
278,7.18,RPG
279,1.2,RPG
280,6.61,FPS
281,2.33,RPG
282,6.47,Casual
283,7.36,FPS
284,3.42,FPS
285,2.92,FPS
286,6.42,RPG
287,4.24,FPS
288,5.48,Casual
289,4.98,RPG
290,1.22,Casual
291,6.76,Casual
292,1.57,FPS
293,7.46,FPS
294,2.0,Casual
295,5.87,RPG
296,2.28,FPS
297,2.54,Casual
298,2.48,RPG
299,5.98,FPS
300,4.45,RPG
301,7.06,Casual
302,2.46,FPS
303,5.54,FPS
304,6.02,FPS
305,1.21,Casual
306,3.2,Casual
307,3.86,RPG
308,2.85,RPG
309,2.58,FPS
310,5.49,RPG
311,1.73,Casual
312,5.68,RPG
313,7.48,Casual
314,4.52,Casual
315,4.89,FPS
316,0.55,Casual
317,6.92,FPS
318,2.28,RPG
319,4.92,RPG
320,7.83,Casual
321,4.76,FPS
322,5.8,Casual
323,3.56,Casual
324,0.48,FPS
325,6.38,Casual
326,0.28,FPS
327,5.61,FPS
328,0.18,Casual
329,6.9,FPS
330,1.26,RPG
331,4.11,RPG
332,4.78,FPS
333,3.66,RPG
334,2.73,FPS
335,3.74,FPS
336,2.49,Casual
337,3.5,Casual
338,2.87,RPG
339,4.53,FPS
340,1.9,RPG
341,7.91,Casual
342,4.01,FPS
343,1.55,FPS
344,3.82,Casual
345,6.93,RPG
346,0.17,FPS
347,5.44,FPS
348,4.38,Casual
349,1.36,RPG
350,6.54,FPS
351,2.95,Casual
352,2.35,Casual
353,6.63,FPS
354,5.11,RPG
355,7.19,FPS
356,5.04,RPG
357,5.93,FPS
358,6.69,FPS
359,0.44,RPG
360,6.21,RPG
361,4.91,FPS
362,0.56,FPS
363,4.07,Casual
364,0.66,FPS
365,5.89,RPG
366,4.37,FPS
367,7.63,RPG
368,1.47,FPS
369,4.85,FPS
370,1.69,RPG
371,4.91,FPS
372,5.78,RPG
373,5.78,FPS
374,6.52,FPS
375,6.83,Casual
376,0.62,FPS
377,2.75,FPS
378,5.5,FPS
379,3.99,FPS
380,1.53,FPS
381,4.42,FPS
382,3.26,FPS
383,3.12,Casual
384,6.48,FPS
385,3.26,Casual
386,0.21,Casual
387,0.46,FPS
388,6.85,FPS
389,7.68,FPS
390,5.51,RPG
391,2.91,RPG
392,7.51,RPG
393,5.3,RPG
394,6.75,FPS
