student_id,sleep_hours,addiction_score
1,6.96,14.69
2,7.63,2.47
3,4.4,4.73
4,7.83,14.54
5,5.55,12.48
6,8.03,18.75
7,6.55,1.74
8,5.37,11.75
9,8.76,11.04
10,7.83,4.72
11,8.93,10.57
12,5.82,9.32
13,7.25,3.55
14,7.06,8.78
15,7.44,10.85
16,4.19,12.72
17,5.46,15.76
18,8.55,10.78
19,6.12,4.45
20,8.8,19.06
21,5.07,18.07
22,8.99,4.27
23,7.49,14.25
24,7.88,4.57
25,5.98,1.33
26,8.54,6.94
27,6.73,3.66
28,7.4,15.3
29,4.47,12.5
30,7.16,17.99
31,8.4,15.6
32,4.89,9.32
33,7.69,15.54
34,4.13,18.1
35,8.63,13.46
36,8.91,10.37
37,5.77,13.11
38,4.54,1.16
39,7.29,11.1
40,4.15,15.98
41,6.41,15.18
42,5.36,3.08
43,6.37,8.69
44,4.09,15.36
45,4.26,4.66
46,4.08,10.63
47,7.1,7.84
48,6.8,9.47
49,5.17,8.37
50,7.23,5.55
51,8.42,8.37
52,5.39,12.36
53,8.16,7.42
54,7.31,4.53
55,4.17,3.73
56,5.88,1.57
57,6.54,7.1
58,7.66,16.9
59,5.44,7.92
60,8.91,2.46
61,7.42,13.16
62,5.86,7.64
63,4.49,20.63
64,4.91,11.92
65,6.44,7.25
66,6.47,11.5
67,7.84,10.14
68,7.63,2.27
69,5.01,1.28
70,6.97,1.69
71,4.1,14.68
72,5.99,12.09
73,7.82,4.61
74,6.0,11.6
75,8.18,8.79
76,8.88,10.21
77,7.04,0.21
78,4.73,11.53
79,5.9,20.4
80,4.05,6.03
81,7.01,0.64
82,8.11,5.9
83,7.15,6.36
84,7.93,7.41
85,8.0,15.35
86,8.26,16.81
87,5.33,0.82
88,8.36,11.83
89,7.27,13.05
90,5.45,8.64
91,8.94,10.78
92,8.75,1.95
93,6.87,6.16
94,8.22,8.27
95,5.31,12.11
96,6.08,16.35
97,4.92,3.6
98,6.6,5.13
99,6.48,15.5
100,5.06,11.55
101,7.36,10.69
102,4.59,2.46
103,4.31,11.26
104,5.92,12.78
105,6.05,13.3
106,5.6,2.03
107,5.29,7.41
108,5.69,10.32
109,4.82,15.12
110,6.02,14.56
111,8.52,15.14
112,5.12,12.38
113,7.42,-0.08
114,4.71,0.57
115,5.77,8.25
116,5.61,7.04
117,8.69,15.67
118,6.14,18.34
119,7.45,5.91
120,7.01,14.69
121,4.71,16.85
122,8.7,10.33
123,5.73,2.62
124,4.22,8.88
125,5.5,6.18
126,5.68,13.64
127,4.46,7.41
128,7.1,0.32
129,5.73,18.81
130,7.15,11.77
131,4.03,6.3
132,8.91,16.48
133,4.85,2.44
134,7.3,9.01
135,7.58,14.76
136,4.86,10.28
137,4.56,14.06
138,4.76,6.22
139,5.23,1.44
140,4.84,9.69
141,7.37,3.5
142,6.1,13.61
143,6.69,12.07
144,4.24,14.27
145,8.31,14.23
146,4.85,1.37
147,5.8,13.97
148,4.36,12.58
149,4.68,14.13
150,7.33,16.41
151,7.46,11.12
152,7.38,8.46
153,6.76,14.35
154,8.76,6.44
155,6.54,3.12
156,6.25,11.99
157,5.24,0.98
158,4.49,3.22
159,6.74,0.29
160,5.57,11.5
161,6.62,11.16
162,5.03,11.8
163,8.19,9.57
164,9.0,12.35
165,5.61,11.15
166,8.21,11.87
167,8.36,5.85
168,8.98,16.11
169,5.71,13.19
170,7.78,15.15
171,5.14,14.6
172,7.12,7.82
173,7.52,11.98
174,7.71,13.11
175,5.04,11.21
176,8.24,13.92
177,6.1,14.34
178,5.08,18.52
179,6.71,5.78
180,8.32,15.81
181,8.84,12.18
182,7.74,12.87
183,4.03,7.13
184,4.67,15.91
185,4.38,19.04
186,4.51,5.71
187,5.92,10.09
188,5.69,8.19
189,4.57,17.74
190,8.41,8.12
191,7.08,1.18
192,7.98,7.07
193,5.86,11.07
194,6.05,6.69
195,5.59,15.5
196,6.19,18.74
197,7.05,16.35
198,6.46,2.27
199,8.19,18.81
200,8.5,11.7
201,6.35,4.49
202,5.2,1.65
203,8.73,5.1
204,7.68,12.15
205,7.2,7.65
206,7.73,8.35
207,4.38,17.1
208,4.34,7.45
209,4.77,11.87
210,4.74,15.28
211,6.1,2.65
212,4.79,20.77
213,8.27,5.63
214,6.89,10.4
215,5.84,13.94
216,4.35,5.65
217,6.96,18.96
218,4.58,11.15
219,7.72,1.41
220,8.01,18.28
221,6.72,11.96
222,4.75,11.03
223,7.93,14.79
224,5.54,13.31
225,5.11,-1.83
226,6.35,3.75
227,8.61,6.08
228,5.49,3.72
229,8.53,15.52
230,4.27,8.39
231,4.42,9.75
232,7.49,3.81
233,4.95,8.95
234,5.58,17.56
235,4.68,6.34
236,5.66,10.87
237,5.4,6.26
238,7.68,17.02
239,7.51,2.53
240,8.77,11.51
241,7.62,12.98
242,7.47,13.35
243,7.47,10.55
244,8.41,14.43
245,5.48,10.89
246,5.5,18.15
247,7.71,6.02
248,5.14,7.57
249,8.56,15.15
250,6.67,1.1
251,5.5,-1.39
252,7.88,5.43
253,5.56,14.49
254,8.82,1.04
255,8.91,13.46
256,7.33,9.59
257,4.57,2.97
258,5.32,8.67
259,6.58,3.32
260,8.26,13.02
261,4.92,12.63
262,4.52,13.42
263,4.37,-1.07
264,6.53,11.19
265,8.42,20.29
266,4.21,12.96
267,5.06,14.98
268,7.47,7.07
269,8.13,20.3
270,8.04,4.16
271,7.93,7.17
272,4.65,14.52
273,5.99,18.27
274,8.92,11.73
275,8.94,8.74
276,7.01,7.33
277,7.55,8.48
278,8.76,13.49
279,6.25,3.66
280,4.68,13.16
281,7.34,8.84
282,8.8,13.21
283,7.49,15.72
284,8.02,11.82
285,6.11,10.13
286,4.48,15.24
287,4.84,9.13
288,8.91,13.36
289,6.47,9.24
290,4.06,4.73
291,8.78,13.11
292,6.49,7.98
293,8.18,17.95
294,6.74,4.52
295,4.51,14.24
296,7.08,5.51
297,8.99,7.43
298,4.17,8.66
299,8.21,15.99
300,5.18,12.61
301,5.97,17.05
302,5.86,5.46
303,8.49,13.95
304,6.52,11.26
305,6.24,7.99
306,8.09,8.42
307,4.24,10.98
308,4.43,9.63
309,4.11,6.37
310,7.44,14.62
311,6.63,1.18
312,8.38,12.16
313,6.49,15.89
314,5.11,8.1
315,8.03,12.87
316,5.47,6.55
317,8.68,11.59
318,5.25,5.65
319,4.84,10.96
320,6.47,17.86
321,4.25,11.87
322,4.18,13.26
323,6.48,9.99
324,5.08,2.81
325,4.05,13.14
326,5.48,2.69
327,6.39,10.13
328,5.97,0.96
329,4.68,15.07
330,6.9,1.93
331,7.55,14.39
332,7.38,14.62
333,5.97,10.32
334,4.69,8.61
335,6.5,10.59
336,8.45,8.76
337,6.34,10.94
338,4.98,9.41
339,4.47,5.88
340,8.72,7.91
341,7.72,15.95
342,5.56,9.44
343,5.48,7.56
344,8.48,5.58
345,4.89,19.03
346,6.68,2.54
347,7.57,13.36
348,5.98,12.62
349,4.2,6.1
350,5.14,16.49
351,8.51,10.38
352,6.62,3.95
353,8.08,17.16
354,6.78,12.01
355,8.72,19.42
356,8.55,12.49
357,6.41,15.03
358,5.59,12.79
359,7.01,3.57
360,7.37,16.29
361,6.49,13.41
362,8.11,6.23
363,4.92,11.11
364,5.67,3.46
365,7.43,15.83
366,5.23,8.43
367,6.2,19.2
368,8.82,4.0
369,7.13,10.41
370,8.75,3.41
371,7.61,10.82
372,7.62,15.13
373,6.96,17.05
374,4.71,14.89
375,6.6,15.63
376,5.26,-1.4
377,8.99,8.52
378,5.33,11.88
379,5.15,10.37
380,7.12,7.7
381,6.55,11.27
382,4.11,8.39
383,4.65,6.33
384,8.06,12.4
385,6.42,8.09
386,4.73,3.05
387,6.33,-0.65
388,5.27,14.18
389,5.12,19.4
390,8.79,9.86
391,5.81,6.53
392,4.23,13.99
393,8.85,6.28
394,7.97,14.23
395,5.27,12.27
396,6.04,8.69
397,8.31,9.8
398,5.79,1.65
399,6.84,8.8
400,6.67,15.36
401,6.01,14.65
402,7.2,14.85
403,6.37,8.18
404,4.11,-2.77
405,8.07,2.27
406,4.57,5.59
407,6.32,9.64
408,6.9,11.24
409,7.53,-1.03
410,6.05,16.91
411,7.68,9.56
412,4.66,9.96
413,7.27,12.79
414,8.13,7.26
415,8.45,14.37
416,6.9,13.8
417,5.56,7.74
418,4.82,12.45
419,5.73,5.35
420,6.7,13.92
421,4.98,17.43
422,8.76,4.91
423,8.49,7.02
424,4.16,13.09
425,6.81,5.17
426,7.95,10.99
427,5.23,7.97
428,6.62,12.21
429,6.03,8.49
430,4.98,5.65
431,7.07,4.05
432,8.97,15.9
433,5.83,12.86
434,6.76,13.78
435,5.64,13.06
436,8.38,3.64
437,8.32,-1.56
438,4.89,12.39
439,8.5,9.95
440,4.76,6.72
441,4.48,0.79
442,7.26,5.36
443,5.93,4.41
444,6.65,15.44
445,7.26,18.2
446,4.26,16.18
447,5.46,16.72
448,6.3,16.18
449,5.33,12.49
450,4.24,5.41
451,4.43,15.48
452,8.01,8.92
453,8.56,4.16
454,4.76,7.34
455,5.25,10.22
456,7.26,9.97
457,8.77,7.87
458,5.5,12.86
459,8.28,16.36
460,6.53,9.95
461,8.78,15.64
462,4.68,6.18
463,8.87,1.86
464,6.2,10.22
465,8.76,8.87
466,6.29,9.9
467,6.65,14.03
468,8.02,14.17
469,7.61,18.71
470,7.1,8.49
471,6.08,3.1
472,7.96,9.23
473,8.74,6.31
474,4.05,6.47
475,6.94,2.87
476,8.33,7.97
477,7.27,0.33
478,8.0,3.34
479,8.48,10.12
480,7.75,9.19
481,7.59,11.91
482,8.82,14.86
483,8.32,4.39
484,8.08,7.29
485,4.43,6.06
486,5.2,16.96
487,6.78,13.97
488,7.55,5.02
489,5.52,7.1
490,4.47,18.72
491,5.56,13.5
492,7.86,14.39
493,8.39,2.78
494,8.56,5.27
495,5.89,16.1
496,5.86,8.89
497,6.03,13.7
498,5.88,10.19
499,7.33,14.98
500,5.79,14.24
501,4.1,5.71
502,6.2,10.5
503,5.12,14.21
504,4.14,6.21
505,6.35,9.61
506,5.03,13.94
507,6.26,15.29
508,5.39,9.78
509,7.02,6.92
510,8.95,18.68
511,6.74,11.15
512,7.23,12.03
513,8.6,4.96
514,5.87,11.77
515,4.83,8.85
516,5.41,18.16
517,6.01,16.34
518,7.23,2.79
519,4.02,9.68
520,8.27,5.84
521,4.38,15.15
522,8.5,8.39
523,8.75,9.77
524,8.95,-2.21
525,8.05,12.34
526,4.71,3.62
527,7.53,18.52
528,5.02,14.01
529,8.49,11.08
530,5.58,9.06
531,5.63,15.0
532,8.59,8.29
533,4.07,5.47
534,4.97,18.1
535,6.11,12.96
536,7.5,16.05
537,7.24,5.52
538,7.35,0.64
539,8.4,0.99
540,4.61,0.91
541,6.61,10.71
542,7.63,5.2
543,7.18,16.37
544,6.24,8.84
545,4.09,7.2
546,4.3,14.55
547,4.59,6.81
548,5.72,3.53
549,4.59,4.75
550,6.13,2.86
551,4.89,9.86
552,7.9,10.27
553,8.36,6.82
554,5.95,14.69
555,6.56,10.19
556,8.77,1.3
557,6.68,12.04
558,8.98,3.02
559,4.71,12.89
