student_id,age,gender,stress_level,social_activity
1,22,Male,Low,3.25
2,19,Male,Medium,1.02
3,23,Female,High,3.46
4,20,Female,Low,1.46
5,22,Female,Low,1.01
6,18,Male,Low,3.74
7,22,Female,Medium,1.81
8,23,Female,Medium,2.85
9,20,Female,Medium,1.0
10,19,Male,Medium,3.07
11,23,Female,Medium,1.04
12,23,Female,Medium,0.83
13,18,Male,Medium,1.93
14,21,Female,Medium,3.95
15,20,Male,Low,0.88
16,17,Male,Medium,0.59
17,23,Male,Low,0.16
18,21,Female,Medium,2.08
19,17,Male,Medium,1.41
20,20,Male,Low,1.46
21,16,Female,Low,4.91
22,21,Male,Medium,0.97
23,24,Female,Low,2.29
24,16,Female,Medium,4.93
25,18,Female,Medium,0.15
26,22,Female,Medium,3.48
27,19,Female,Medium,1.86
28,24,Male,Low,4.53
29,18,Female,Low,4.56
30,20,Male,Low,1.94
31,18,Female,Low,1.11
32,22,Male,High,2.14
33,20,Female,Low,4.83
34,24,Female,Low,1.41
35,22,Female,Low,4.91
36,17,Male,Low,4.1
37,19,Male,High,1.34
38,24,Female,Medium,3.96
39,17,Female,Low,0.25
40,24,Male,Low,2.74
41,20,Other,Low,1.79
42,17,Female,Medium,2.13
43,19,Male,Medium,2.36
44,22,Female,High,2.51
45,23,Female,Medium,3.28
46,18,Male,Medium,3.48
47,16,Male,Medium,4.88
48,19,Female,Medium,3.81
49,17,Female,High,3.44
50,23,Male,Medium,1.96
51,19,Female,Medium,0.59
52,17,Female,High,0.29
53,21,Female,Medium,2.39
54,21,Male,Medium,3.34
55,19,Female,Medium,3.25
56,21,Male,High,4.76
57,17,Male,Medium,1.91
58,17,Male,Low,3.14
59,19,Female,High,4.44
60,23,Female,Medium,2.02
61,22,Male,Low,2.39
62,24,Female,High,4.61
63,23,Male,High,2.75
64,20,Male,Low,4.0
65,17,Other,Medium,4.68
66,20,Female,Medium,2.86
67,23,Male,Medium,0.55
68,24,Female,Medium,4.11
69,24,Male,Medium,4.09
70,16,Male,Medium,0.57
71,24,Female,Low,2.74
72,22,Female,Medium,2.44
73,24,Male,Medium,4.24
74,23,Female,Low,1.37
75,16,Female,Medium,2.13
76,23,Male,Medium,3.02
77,23,Female,Medium,2.59
78,18,Female,Medium,4.78
79,16,Female,High,4.8
80,23,Female,Medium,0.41
81,18,Female,Medium,1.49
82,18,Male,Medium,0.04
83,16,Female,Medium,2.09
84,20,Female,Medium,3.31
85,22,Male,Low,2.36
86,24,Female,Low,0.34
87,22,Female,Medium,0.98
88,24,Female,Medium,0.87
89,23,Male,Low,2.56
90,17,Male,Medium,3.39
91,16,Female,Medium,1.58
92,22,Male,Medium,0.65
93,22,Female,Medium,3.99
94,23,Male,Medium,4.29
95,20,Male,Low,1.38
96,18,Male,Low,2.1
97,23,Male,Medium,0.41
98,21,Female,Medium,1.14
99,18,Male,Low,3.84
100,16,Male,Medium,1.83
101,18,Male,Low,3.02
102,20,Female,Medium,4.73
103,18,Male,Medium,3.62
104,16,Female,Medium,2.27
105,20,Female,Low,1.83
106,22,Female,Medium,0.95
107,22,Female,Medium,3.78
108,24,Female,Medium,0.56
109,18,Female,Low,0.31
110,22,Male,Low,0.52
111,16,Male,Low,1.21
112,19,Male,Low,3.14
113,19,Female,Medium,4.31
114,20,Other,High,4.96
115,22,Female,Medium,3.66
116,22,Male,Medium,0.73
117,19,Female,Low,1.39
118,22,Male,Low,0.66
119,18,Male,Medium,0.58
120,21,Male,Medium,2.84
121,17,Male,Low,4.53
122,24,Female,Medium,3.42
123,20,Male,High,4.0
124,21,Male,Medium,2.54
125,19,Female,Medium,2.38
126,22,Female,High,4.69
127,24,Female,Medium,3.61
128,22,Male,Medium,2.3
129,16,Female,Low,1.66
130,16,Female,Medium,0.47
131,24,Male,Medium,4.1
132,24,Female,Low,0.85
133,19,Male,Medium,2.58
134,24,Male,Medium,3.19
135,18,Female,Low,3.72
136,22,Female,Medium,0.42
137,21,Male,High,0.05
138,23,Female,Medium,3.53
139,24,Female,High,2.27
140,20,Female,Medium,0.91
141,16,Male,Medium,4.91
142,18,Female,Low,3.96
143,23,Male,Low,2.89
144,21,Female,High,3.51
145,23,Male,Low,0.78
146,24,Male,Medium,4.81
147,19,Female,Low,4.98
148,16,Male,Low,3.24
149,16,Male,High,3.34
150,19,Male,Low,3.52
151,22,Female,Medium,3.33
152,17,Male,Medium,2.19
153,18,Female,Low,2.7
154,16,Male,Medium,1.41
155,20,Male,Medium,2.23
156,16,Male,Medium,2.18
157,23,Female,Medium,1.44
158,16,Male,High,3.93
159,16,Male,Medium,2.05
160,17,Other,Medium,2.76
161,17,Female,Medium,0.78
162,21,Male,High,2.37
163,22,Male,Medium,3.81
164,20,Female,Medium,2.22
165,16,Male,Medium,2.79
166,16,Male,Low,3.51
167,18,Female,Medium,1.94
168,17,Female,Low,1.77
169,20,Female,Low,0.43
170,21,Male,Low,2.91
171,22,Male,High,3.53
172,19,Female,Medium,2.91
173,22,Male,Medium,1.42
174,23,Female,Low,1.31
175,16,Female,Low,0.8
176,21,Male,Low,0.23
177,23,Female,Low,2.13
178,20,Female,Low,0.8
179,19,Female,Medium,3.45
180,17,Male,Low,4.81
181,21,Male,Low,0.37
182,21,Female,Low,4.46
183,16,Male,High,3.29
184,24,Other,Low,4.3
185,21,Male,Low,0.77
186,18,Female,Medium,4.53
187,19,Male,Medium,4.79
188,19,Female,Medium,4.53
189,18,Male,Low,3.93
190,18,Male,Medium,0.45
191,18,Male,Medium,1.1
192,19,Female,Medium,4.57
193,22,Male,High,1.15
194,19,Female,Medium,1.74
195,24,Female,High,0.25
196,16,Male,Low,3.14
197,23,Female,Low,2.82
198,22,Male,Medium,4.81
199,17,Other,Low,4.46
200,23,Female,Low,2.53
201,16,Male,Medium,3.05
202,24,Male,Medium,2.07
203,24,Male,Medium,0.66
204,17,Other,Low,4.34
205,22,Male,Medium,2.75
206,18,Female,Medium,2.13
207,22,Male,Low,0.34
208,24,Female,Medium,3.33
209,19,Male,Low,2.0
210,16,Female,Low,1.27
211,17,Female,Medium,4.38
212,16,Female,High,0.92
213,20,Male,Medium,2.58
214,20,Male,Medium,3.98
215,22,Male,High,4.25
216,24,Female,Medium,4.09
217,24,Male,Low,4.48
218,18,Female,Medium,0.71
219,18,Male,Medium,4.7
220,18,Female,Low,0.05
221,19,Female,Medium,1.28
222,23,Female,Low,0.42
223,21,Male,Medium,4.73
224,23,Male,High,2.12
225,16,Male,Medium,1.58
226,23,Male,Medium,0.84
227,19,Female,Medium,0.78
228,16,Female,Medium,3.07
229,23,Female,Low,0.24
230,19,Male,Medium,2.97
231,21,Female,High,3.87
232,23,Female,Medium,3.01
233,19,Female,High,4.13
234,18,Male,Low,1.33
235,24,Male,Medium,0.39
236,18,Male,Medium,3.6
237,24,Female,Medium,4.14
238,17,Female,Medium,2.51
239,17,Male,Medium,4.1
240,17,Male,Medium,2.29
241,21,Female,Low,0.99
242,18,Female,Low,2.37
243,24,Male,Medium,1.08
244,19,Female,Low,2.36
245,16,Other,Medium,0.74
246,19,Female,Low,0.93
247,16,Male,Medium,4.41
248,20,Female,High,0.58
249,19,Female,Low,1.12
250,23,Male,Medium,4.98
251,23,Female,Medium,2.88
252,22,Female,Medium,2.93
253,18,Female,High,4.22
254,16,Male,Medium,2.62
255,16,Female,Low,1.11
256,18,Female,Medium,2.11
257,21,Male,Medium,3.78
258,22,Female,Medium,4.36
259,21,Female,Medium,1.37
260,21,Female,Medium,1.31
261,21,Male,Low,1.64
262,18,Female,High,2.98
263,21,Male,Medium,1.39
264,23,Male,Low,4.47
265,17,Female,Low,4.89
266,20,Male,High,3.4
267,16,Female,Low,4.85
268,16,Male,Medium,1.44
